language,ipa,gloss
po,eu,I
po,tu,you (singular)
po,vose,you (singular)
po,eli,he
po,nɔs,we
po,vɔs,you (plural)
po,vɔses,you (plural)
po,elis,they
po,ɛlɐʃ,they
po,istu,this
po,estʃi,this
po,ɛsta,this
po,akilu,that
po,akeli,that
po,aki,here
po,ai,there
po,la,there
po,ɐli,there
po,ke.j.,who
po,ki,what
po,uki,what
po,o.dʒi,where
po,kwɐ.du,when
po,komu,how
po,nɐ.w.,not
po,todu,all
po,tudu,all
po,mu.j.tu,many
po,auɡu.s,some
po,awɡu.,some
po,poku,few
po,otɾu,other
po,u.,one
po,dois,two
po,tɾes,three
po,kwatɾu,four
po,si.ku,five
po,ɡɾɐ.dʒi,big
po,lo.ɡu,long
po,ko.pɾidu,long
po,laʁɡu,wide
po,ɐ.plu,wide
po,ispesu,thick
po,ɡɾosu,thick
po,pezadu,heavy
po,pikenu,small
po,kuʁtu,short
po,istɾejtu,narrow
po,finu,thin
po,maɡɾu,thin
po,dewɡadu,thin
po,muʎɛɾ,woman
po,ome.j.,man (male)
po,kɾiɐ.sɐ,child
po,muʎɛɾ,wife
po,ispoza,wife
po,maɾidu,husband
po,ispozu,husband
po,mɐ.j.,mother
po,pai,father
po,animaw,animal
po,peʃi,fish
po,avi,bird
po,pasaɾu,bird
po,kɐ.w.,dog
po,kɐʃoʁu,dog
po,pioʎu,louse
po,seʁpe.tʃi,snake
po,kɔbɾɐ,snake
po,vɛʁmi,worm
po,biʃu,worm
po,aʁvoɾi,tree
po,floɾɛstɐ,forest
po,bɔski,forest
po,bastɐ.w.,stick
po,paʊ,stick
po,fɾutɐ,fruit
po,fɾutu,fruit
po,seme.tʃi,seed
po,foʎɐ,leaf
po,xais,root
po,kaskɐ,bark (of a tree)
po,flox,flower
po,ɛʁvɐ,grass
po,ɡɾɐ.mɐ,grass
po,ʁɛwvɐ,grass
po,kɔʁdɐ,rope
po,pɛli,skin
po,kaʁni,meat
po,sɐ.ɡi,blood
po,osu,bone
po,ɡoʁduɾɐ,fat (noun)
po,ovu,egg
po,ʃifɾi,horn
po,koʁnu,horn
po,kawdɐ,tail
po,xabu,tail
po,penɐ,feather
po,plumɐ,feather
po,kabelu,hair
po,pelu,hair
po,kabesɐ,head
po,oɾeʎɐ,ear
po,oʎu,eye
po,naɾis,nose
po,bokɐ,mouth
po,de.tʃi,tooth
po,li.ɡwɐ,tongue
po,uɲɐ,fingernail
po,pɛ,foot
po,pɛʁnɐ,leg
po,ʒueʎu,knee
po,mɐ.w.,hand
po,azɐ,wing
po,ve.tɾi,belly
po,baxiɡɐ,belly
po,e.tɾɐ.ɲɐs,guts
po,i.testʃinu,guts
po,tɾipɐs,guts
po,peskosu,neck
po,kɔstɐs,back
po,doɾsu,back
po,pejtu,breast
po,sejus,breast
po,koɾasɐ.w.,heart
po,fiɡɐdu,liver
po,bebe,to drink
po,kome,to eat
po,moʁde,to bite
po,suɡa,to suck
po,ʃupa,to suck
po,kuspi,to spit
po,vomita,to vomit
po,sopɾa,to blow
po,ʁespiɾa,to breathe
po,ʁi,to laugh
po,ve,to see
po,ovi,to hear
po,sabe,to know
po,koɲese,to know
po,pe.sa,to think
po,ʃeɾa,to smell
po,teme,to fear
po,doʁmi,to sleep
po,vive,to live
po,moʁe,to die
po,mata,to kill
po,luta,to fight
po,kasa,to hunt
po,bate,to hit
